How many;what;who;single price;total price;bought at;;;;
1;Kommode;Dani;€199;€199;2015-2-1;;;;
1;Textilgaderobe;Dani;€19,99;€19,99;2015-2-1;;;;
1;Korb-Box;Dani;€14,99;€14,99;2015-2-1;;;;
1;Korb-Box;Dani;€4,99;€4,99;2015-2-1;;;;
1;Box-Fach;Dani;€3,99;€3,99;2015-2-1;;;;
1;Tisch;Dani;€7,99;€7,99;2015-2-1;;;;
1;Tisch;Remus;€7,99;€7,99;2015-2-1;;;;
3;IKEA Taschen;Common;€0,50;€1,50;2015-2-1;;;;
1;Teppich;Common;€29,99;€29,99;2015-2-1;;;;
1;Spiegel;Remus;€19,99;€19,99;2015-2-1;;;;
1;Spiegel;Johannes;€19,99;€19,99;2015-2-1;;;;
1;Regal;Johannes;€19,99;€19,99;2015-2-1;;;;
1;FADO Tischleuchte;Remus;€9,99;€9,99;2015-2-1;?;;;
1;Kissen;Remus;€29,99;€29,99;2015-2-1;;;;
1;KNODD Ton / Decke;Remus;€19,99;€19,99;2015-2-1;?;;;
1;VÄTE Leuchtschirm;Remus;€4,99;€4,99;2015-2-1;;;;
1;REGOLIT Leuchtschirm;Common;€1,99;€1,99;2015-2-1;;;;
1;Bettwäsche grün;Johannes;€35,00;€35,00;2015-2-1;;;;
1;Bettwäsche grün;Remus;€35,00;€35,00;2015-2-1;;;;
1;Blanket;Johannes;€15,99;€15,99;2015-2-1;;;;
1;Toiletbrush;Common;€2,99;€2,99;2015-2-1;;;;
1;Clothhorse;Common;€15,99;€15,99;2015-2-1;;;;
1;KLIPPLIN Bettwäsche blau;Johannes;€39,00;€39,00;2015-2-1;;;;
1;Bettwäsche grau;Remus;€35,00;€35,00;2015-2-1;;;;
1;SOMMAR Decke;Remus;€12,99;€12,99;2015-2-1;?;;;
1;Müllbeutel;Common;€2,49;€2,49;2015-2-1;;;;
1;KORKEN Dos/Deck;;€2,49;€2,49;2015-2-1;?;;;
1;LAMPEN Tischleuchte;Johannes;€2,99;€2,99;2015-2-1;;;;
1;KOPPLA Mfstd;;€3,49;€3,49;2015-2-1;?;;;
4;Aufhängung Lampen;Common;€3,00;€12,00;2015-2-1;;;;
1;Decke;Remus;€59,00;€59,00;2015-2-1;;;;
1;Decke;Johannes;€59,00;€59,00;2015-2-1;;;;
1;Abtropfhalter;Common;€0,99;€0,99;2015-2-1;;;;
1;ORDNING Besteckabtropfer;Common;€4,99;€4,99;2015-2-1;;;;
1;Simple Küchenrollenhalter;Common;€1,99;€1,99;2015-2-1;;;;
1;Reibe;Common;€4,99;€4,99;2015-2-1;;;;
1;Spannbetlaken grün;Johannes;€15,99;€15,99;2015-2-1;;;;
1;Fußmatte;Common;€1,49;€1,49;2015-2-1;;;;
1;Holz-Servierschüssel;Common;€24,99;€24,99;2015-2-1;;;;
1;Glas-Servierschüssel;Common;€1,99;€1,99;2015-2-1;;;;
1;Cloth hanger;Remus;€3,49;€3,49;2015-2-1;;;;
1;4 Kitchen towels;Common;€1,49;€1,49;2015-2-1;;;;
1;6 Gläser;Common;€3,99;€3,99;2015-2-1;;;;
6;LED Lichter;Common;€6,99;€41,94;2015-2-1;;;;
1;6 Weingläser;Common;€2,99;€2,99;2015-2-1;;;;
1;Jumbo mug;Remus;€2,99;€2,99;2015-2-1;;;;
1;dustpan & brush;Common;€0,99;€0,99;2015-2-1;;;;
1;wine opener;Common;€2,79;€2,79;2015-2-1;;;;
1;mug;Remus;€1,99;€1,99;2015-2-1;;;;
1;Kitchen box;Common;€3,99;€3,99;2015-2-1;;;;
4;bowls;Common;€1,49;€5,96;2015-2-1;;;;
1;Nice Paper towel holder;Common;€6,99;€6,99;2015-2-1;;;;
1;DRAGON cuttlery;Common;€19,99;€19,99;2015-2-1;;;;
1;Laptop holder;Johannes;€14,99;€14,99;2015-2-1;;;;
2;2 guest towels;Common;€1,49;€2,98;2015-2-1;;;;
1;sauce pan;Common;€12,99;€12,99;2015-2-1;;;;
1;DOLD portionierer;Common;€2,99;€2,99;2015-2-1;?;;;
1;Dishes;Common;€24,99;€24,99;2015-2-1;;;;
1;dish brush;Common;€0,79;€0,79;2015-2-1;;;;
1;STRAPATS Treteim 902.819.58;Common;€7,99;€7,99;2015-2-1;;;;
1;shower mat;Common;€12,99;€12,99;2015-2-1;;;;
1;SÖRE Standleuchte;Remus;€19,99;€19,99;2015-2-1;;;;
1;BLADIS Korb;Remus;€14,99;€14,99;2015-2-1;;;;
1;Bed Bettgestellt;Johannes;€189,00;€189,00;2015-2-1;;;;
2;Lattenrost;Johannes;€29,00;€58,00;2015-2-1;;;;
1;Kommode;Remus;€69,00;€69,00;2015-2-1;;;;
;;;;0;;;;;
;;;;0;;;;;
;;;;0;;;;;
;;;;0;;;;;
;;;;0;;;;;
;;;;0;;;;;
;;;;0;;;;;
